AWI00062h7,J002133.47-661816.6,1
AWI0000nfp,J002155.14-672715.9,2
AWI0000bs0,J003140.76-014737.3,2
AWI0005mry,J003412.66+540359.0,1
AWI0000jvv,J003507.14+070625.0,2
AWI00062m4,J004826.42+020753.0,2
AWI0005yiv,J005926.26+400918.2,1
AWI00055sx,J010652.55+743754.5,2
AWI00055sz,J011636.23+740136.6,2
AWI00062mq,J011743.47-523330.8,4
AWI0005w6c,J012650.26+454038.8,2
AWI0004ne5,J013525.89+560237.3,2
AWI00062a8,J013756.15+211539.9,2
AWI0005aeg,J013833.77+780834.3,4
AWI00062aa,J014113.00+163051.7,2
AWI0005zx4,J014928.21+244048.7,1
AWI00008jh,J015317.94-461421.9,2
AWI00062aj,J020221.16+192323.6,1
AWI0005w6v,J021327.01+421923.3,2
AWI0005yjn,J022317.32+381509.7,2
AWI0005yjp,J022515.75+370707.9,2
AWI0005yjq,J023047.36+360701.7,1
AWI0000b9g,J023115.97-094845.9,4
AWI0005w77,J023720.84+395345.8,2
AWI0005zfw,J024430.00+280053.8,1
AWI000425z,J024755.37+553648.4,1
AWI0000c52,J025149.66-244328.9,2
AWI0000phh,J025614.05+040254.2,2
AWI0000xbv,J025926.83+593531.6,1
AWI0005yk3,J030651.95+303136.8,2
AWI00062ic,J030854.20-185809.1,4
AWI00055vo,J031738.10+731810.2,2
AWI0005w7o,J032429.84+341709.9,2
AWI0005ykd,J032448.99+283908.6,1
AWI0005zy4,J032504.59+105835.0,1
AWI00062iw,J032555.87-355515.1,2
AWI0000zqw,J032847.84+575556.1,4
AWI0000mb7,J033337.91-072453.8,2
AWI0000xcq,J033421.19+564343.6,4
AWI0002d6a,J033549.39+641324.7,1
AWI00062j7,J033709.08-294948.5,2
AWI0005ylv,J033900.56+294145.6,4
AWI0005ylw,J033906.73+244209.8,1
AWI0005ylz,J034400.28+243324.6,2
AWI0005ym7,J034921.76+242251.0,2
AWI0005zyr,J035007.87+095528.1,2
AWI0005ym9,J035157.43+255955.4,1
AWI0005w9s,J035958.81+312901.0,2
