AWI00062h7,J002133.47-661816.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0000nfp,J002155.14-672715.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0000bs0,J003140.76-014737.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0005mry,J003412.66+540359.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0000jvv,J003507.14+070625.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI00062m4,J004826.42+020753.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0005yiv,J005926.26+400918.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI00055sx,J010652.55+743754.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI00055sz,J011636.23+740136.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI00062mq,J011743.47-523330.8,6400.0,None,None,5.5,None,None,1.11664973283e-10,-3.48248586277e-12,5.56032620958e-12,-0.116559639559,0.0113551169469,0.0116217010092,2.26329251644e-11,2.8368005283e-12,3.39041751601e-12
AWI0005w6c,J012650.26+454038.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0004ne5,J013525.89+560237.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI00062a8,J013756.15+211539.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0005aeg,J013833.77+780834.3,6700.0,None,None,4.5,None,None,1.62992214345e-10,1.74413813672e-12,1.03291415488e-12,-2.10501076031,0.0153139038822,0.0156163164016,3.80491155698e-22,6.4860541809e-23,7.94111688078e-23
AWI00062aa,J014113.00+163051.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0005zx4,J014928.21+244048.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI00008jh,J015317.94-461421.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI00062aj,J020221.16+192323.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0005w6v,J021327.01+421923.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0005yjn,J022317.32+381509.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0005yjp,J022515.75+370707.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0005yjq,J023047.36+360701.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0000b9g,J023115.97-094845.9,3500.0,None,None,4.5,None,None,2.27307647153e-11,4.05048224473e-13,4.98726877099e-14,0.142128875223,0.0305513099205,0.0309791924846,4.88223231473e-12,1.51711661552e-12,2.24236586674e-12
AWI0005w77,J023720.84+395345.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AWI0005zfw,J024430.00+280053.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
